ticker,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BCAP,2021-04-27T00:00:00Z,9e-4,0.0011,9e-4,9e-4,76329360,9e-4,0.0011,9e-4,9e-4,76329360,0,1
BCAT,2021-04-27T00:00:00Z,21.47,21.62,21.37,21.62,90778,21.47,21.62,21.37,21.62,90778,0,1
BCAUY,2021-04-27T00:00:00Z,9.3425,9.3425,9.05,9.05,4851,9.3425,9.3425,9.05,9.05,4851,0,1
BCBP,2021-04-27T00:00:00Z,13.97,13.97,13.63,13.7,59910,13.97,13.97,13.63,13.7,59910,0,1
BCC,2021-04-27T00:00:00Z,68.98,69.61,68.15,68.37,233779,68.98,69.61,68.15,68.37,233779,0,1
BCCEF,2021-04-27T00:00:00Z,0.0851,0.10025,0.085,0.10025,54649,0.0851,0.10025,0.085,0.10025,54649,0,1
BCCI,2021-04-27T00:00:00Z,0.027,0.027,0.012,0.027,882761,0.027,0.027,0.012,0.027,882761,0,1
BCD,2021-04-27T00:00:00Z,29.025,29.25,28.8948,29.25,14164,29.025,29.25,28.8948,29.25,14164,0,1
BCDA,2021-04-27T00:00:00Z,3.69,3.79,3.65,3.78,30142,3.69,3.79,3.65,3.78,30142,0,1
BCDS,2021-04-27T00:00:00Z,0.5,0.5,0.5,0.5,131,0.5,0.5,0.5,0.5,131,0,1
BCE,2021-04-27T00:00:00Z,46.54,46.75,46.49,46.75,1030420,46.54,46.75,46.49,46.75,1030420,0,1
BCEI,2021-04-27T00:00:00Z,32.48,32.76,31.44,31.44,498782,32.48,32.76,31.44,31.44,498782,0,1
BCEKF,2021-04-27T00:00:00Z,1.53,1.6,1.4595,1.56,93546,1.53,1.6,1.4595,1.56,93546,0,1
BCEL,2021-04-27T00:00:00Z,12.47,12.73,12.21,12.65,92043,12.47,12.73,12.21,12.65,92043,0,1
BCH,2021-04-27T00:00:00Z,22.96,23.74,22.9,23.58,115258,22.96,23.74,22.9,23.58,115258,0,1
BCHG,2021-04-27T00:00:00Z,27.2,27.9,26.75,27.9,36695,27.2,27.9,26.75,27.9,36695,0,1
BCI,2021-04-27T00:00:00Z,25.19,25.19,25.04,25.13,61499,25.19,25.19,25.04,25.13,61499,0,1
BCII,2021-04-27T00:00:00Z,0.78,0.81,0.7,0.795,111963,0.78,0.81,0.7,0.795,111963,0,1
BCLI,2021-04-27T00:00:00Z,3.53,3.6756,3.51,3.65,347558,3.53,3.6756,3.51,3.65,347558,0,1
BCM,2021-04-27T00:00:00Z,34.635,34.71,34.57,34.71,7493,34.635,34.71,34.57,34.71,7493,0,1
BCML,2021-04-27T00:00:00Z,18.27,18.43,18.09,18.42,36169,18.27,18.43,18.09,18.42,36169,0,1
